,HC,HC1,HC2
85,1.8169089995768073,1.166509052205748,1.03907590274432
86,1.8169089995768073,1.1663304233489717,1.03907590274432
87,1.8169089995768073,1.1663304233489717,1.0363733451783859
88,1.8169089995768073,1.1663304233489717,1.0307415553602945
89,1.816406656750242,1.0741403611630185,1.0224682702878416
90,1.816406656750242,1.0741403611630185,1.02070990436541
91,1.8128303337310565,1.055704627542498,1.0204607743859897
92,1.8125333417831149,1.055704627542498,1.0204607743859897
93,1.8125333417831149,1.055704627542498,1.0204607743859897
94,1.8125333417831149,1.055512505841019,1.0204607743859897
95,1.8125333417831149,1.055512505841019,1.0204607743859897
96,1.8125333417831149,1.055512505841019,1.0204607743859897
97,1.812338877622735,1.046218801060928,1.0204607743859897
98,1.807999625027211,1.046218801060928,0.9974241282917138
99,1.8074438838130247,1.0369862247647628,0.9969199092353633
100,1.8074438838130247,1.0369862247647628,0.9969199092353633
101,1.8074438838130247,1.0029011075804353,0.9943085933976596
102,1.8074438838130247,1.0029011075804353,0.9943085933976596
103,1.807061358577858,1.0023674976590846,0.987445532746067
104,1.807061358577858,1.0023674976590846,0.983659179293179
105,1.8062683768514685,0.9859136680994688,0.9820165005271673
106,1.8062683768514685,0.9857137161611563,0.9820165005271673
107,1.8050668461357593,0.9857137161611563,0.9811602267578599
108,1.8050668461357593,0.9857137161611563,0.9776779483832818
109,1.8050668461357593,0.960464389707774,0.9776779483832818
110,1.803681813617506,0.960464389707774,0.9767368267665721
111,1.8018295046504744,0.960295645566164,0.9767368267665721
112,1.8018295046504744,0.960295645566164,0.9767368267665721
113,1.8018295046504744,0.9592486883276441,0.9767368267665721
114,1.7968857430808276,0.9469188685567522,0.9767368267665721
115,1.7968857430808276,0.9469188685567522,0.9767368267665721
116,1.7968857430808276,0.9327493439718246,0.9716831216903756
117,1.7968857430808276,0.9327493439718246,0.9716831216903756
118,1.7968857430808276,0.9273119509178829,0.9716831216903756
119,1.7968857430808276,0.92513551306629,0.966490314340318
120,1.796007622750687,0.92513551306629,0.966490314340318
121,1.796007622750687,0.9145559387751984,0.9627493572300877
122,1.796007622750687,0.9138454852594531,0.9627493572300877
123,1.7959152910902665,0.8652512136514163,0.9627493572300877
124,1.7959152910902665,0.8652512136514163,0.9627493572300877
125,1.7959152910902665,0.8632505252890948,0.9627493572300877
126,1.7959152910902665,0.8632505252890948,0.9556915977948325
127,1.7959152910902665,0.8632505252890948,0.9456931973100894
128,1.7946910319921283,0.8535752015718774,0.9447625509739611
129,1.7946910319921283,0.8535752015718774,0.9435095604355549
